order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600519.XSHG,MainBoard,ConsumerStaples,0,2012-01-04,-0.12192563032336166,-0.327793037042068,0.11971356723118681,-0.28149240049085406,-0.4918250918920038,-0.45359491210806835,-0.23636796533692025,-1.5162548035657588,0.28758216708723033,-1.4990369456285983,0.24338292801186523,-0.10817766582393538,-0.0646567509767391,-0.7146408018570226,-0.7658409316477253,-1.2869000545539702,-1.0057130913960688
600519.XSHG,MainBoard,ConsumerStaples,1,2012-01-05,0.1648557688244345,-0.30830955838897345,0.09292676172010621,-0.26065765626197823,-0.5245332386946644,-0.47378658493744724,-0.28417397041746784,-1.570015509331528,0.28758216708723033,-1.6226162525723948,0.2274653072519745,-0.09327222981363306,-0.06055596087105007,-0.6955994592791656,-0.7633236750394138,-1.4207845120085065,-1.197928709597848
600519.XSHG,MainBoard,ConsumerStaples,2,2012-01-06,-0.07145946678945912,-0.34014834012777334,0.13702390852844196,-0.29470459859183146,-0.531741625941044,-0.491460772672282,-0.25053917413419263,-1.0418190440655706,0.28758216708723033,-1.1522344973280914,0.2091949650355435,-0.10044319251909589,-0.06355645555345422,-0.6978419591063354,-0.7607825403357165,-1.3110103720040078,-1.1059416791244083
600519.XSHG,MainBoard,ConsumerStaples,3,2012-01-09,0.02006076520926189,-0.3523235808207552,0.15433424982569666,-0.30772424617530036,-0.5283736765354246,-0.5048895395703961,-0.19381840504207368,-1.1559457697041335,0.28758216708723033,-0.9272807245297607,0.2080469428926271,-0.09700701732675476,-0.05987040310293149,-0.7003857659683547,-0.7590304701154755,-1.3079877053448588,-1.1512126749375864
600519.XSHG,MainBoard,ConsumerStaples,4,2012-01-10,-0.34610405249269033,-0.40750476917936107,0.23608454777696744,-0.366732494454115,-0.49394191248852737,-0.5083680390539012,-0.06087801169033428,-0.6481001106326383,1.0312758357375396,-0.20088060055834775,0.20516818014877589,-0.055169657173448544,-0.04675574532639936,-0.7044833820970171,-0.7599896796433893,-1.042536278982921,-1.143189603563156
600519.XSHG,MainBoard,ConsumerStaples,5,2012-01-11,-0.00022150883930539684,-0.36692707037561156,0.17543517680848236,-0.32334055243876636,-0.4859834496447944,-0.5094717390932544,-0.029149539045819715,-0.4709782202433282,1.0312758357375396,-0.6775952080806421,0.16634095039723937,-0.0334709901486718,-0.02662232992292413,-0.7035417861193302,-0.7577893334238722,-1.2632289515067863,-1.3140047315860357
600519.XSHG,MainBoard,ConsumerStaples,6,2012-01-12,-0.22555499909335266,-0.3727139312880194,0.18390081817283338,-0.3295287577969964,-0.4743856914566672,-0.5079077578043862,0.006491778633801251,-0.10352467098128391,1.0312758357375396,-0.5737248278186463,0.12628800846533478,-0.026195806194585294,-0.02760778793707285,-0.7028939169532413,-0.7560482018155124,-0.9105886201180495,-1.1569005839849462
600519.XSHG,MainBoard,ConsumerStaples,7,2012-01-13,-0.14158300727282955,-0.3583011105178195,0.1629262440462331,-0.31411634404325633,-0.47049254817948516,-0.5058351924149077,0.013286824714027333,-0.33941003705876194,0.28758216708723033,-0.7051444580762412,0.06952180652743525,-0.02950242380896514,-0.027366038858286396,-0.7027553235109214,-0.7534434043080557,-0.8338814901538103,-1.086674205490093
600519.XSHG,MainBoard,ConsumerStaples,8,2012-01-16,0.5554798804608655,-0.2532199687779203,0.020400222270292732,-0.2017473595097337,-0.5157171945497933,-0.5137187758347157,-0.11973206424001388,-1.1505266739813007,-0.4561115015630799,-1.8320804847089625,0.12096101646788131,0.005420072192973928,0.0023771412734576126,-0.675648068085325,-0.7453917308715016,-1.292352057697564,-1.392828250052264
600519.XSHG,MainBoard,ConsumerStaples,9,2012-01-17,0.4186118650260793,-0.2827371157538261,0.05868513769414949,-0.23331165141873608,-0.5348903240691392,-0.5240708448610815,-0.15271228498364728,-0.990855932271121,0.28758216708723033,-1.391321768095451,0.21871534804676437,0.07436613248237567,0.014706881127543849,-0.6732740584304779,-0.7392309832722176,-1.340474660964392,-1.4013461399770832
600519.XSHG,MainBoard,ConsumerStaples,10,2012-01-18,0.6794640829660621,-0.252922678181778,0.020021163701739588,-0.20142945049345398,-0.5606791008184714,-0.5377935032546419,-0.1977448590851475,-0.7528155485594811,0.28758216708723033,-1.6061013351127578,0.24251760088852078,0.09766112892594161,0.012371890204087549,-0.6663485887248916,-0.7309120885833579,-1.2881787307713426,-1.3111403203483567
600519.XSHG,MainBoard,ConsumerStaples,11,2012-01-19,0.5498380474750955,-0.2852238251799467,0.061970311954942355,-0.23597082516215206,-0.5628149422014604,-0.5492222592970177,-0.16709720351153395,-0.375662129117549,0.28758216708723033,-1.1361689417045535,0.20560766569595187,0.08560644416268731,0.00242585686560774,-0.6712791641106154,-0.7253569884623475,-1.190782762724024,-1.2166567640424133
600519.XSHG,MainBoard,ConsumerStaples,12,2012-01-20,0.4337339782176154,-0.3341287094134512,0.12855826716409097,-0.28826747981452067,-0.5376712098435189,-0.5530603550818182,-0.06568249442603478,-0.2557352334299878,0.28758216708723033,-0.48935470024437605,0.21237046975645993,0.0859041030497294,0.006876545756524848,-0.6793094068641589,-0.722746989273675,-1.0652781233367057,-1.0621346130245186
600519.XSHG,MainBoard,ConsumerStaples,13,2012-01-30,0.6028807427209957,-0.3143310431307405,0.1011396973720886,-0.26709675765175483,-0.5247255042044904,-0.5533995030881975,-0.0189349512482911,-0.475077376351917,-0.4561115015630799,-0.6443923390548738,0.22932218262286871,0.10223074927222377,0.0067618630289471545,-0.6946020248152315,-0.7194195632664179,-1.2258601647487035,-1.179844071101562
