order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600895.XSHG,MainBoard,Industrials,0,2012-01-04,0.6680964159492851,-1.6032295622263109,-1.0519087306505914,0.01019377019275372,-1.057517583137352,-0.9621708931422308,-0.49615824221722243,-2.149003539223845,-1.7941497174372245,-2.097427079708627,-0.79799964863317,-0.7754291879994276,-0.8206595066612593,0.21001698479383676,-0.34958933734571673,-1.5491731735898673,-1.4061881316900817
600895.XSHG,MainBoard,Industrials,1,2012-01-05,0.9082859544805265,-1.5970093745973184,-1.0911876164426448,0.058377373468197505,-1.0915225549978649,-0.9971592001032646,-0.4977662418333615,-2.187195988757487,-1.7941497174372245,-2.235440612873585,-0.7976750628397596,-0.7740087201251458,-0.820658833273294,0.20885004480050384,-0.3126780193378842,-1.6024815723763894,-1.4926692614847197
600895.XSHG,MainBoard,Industrials,2,2012-01-06,0.9884674880696832,-1.5994695900660838,-1.07591249419018,0.039319741578374486,-1.0960943896634188,-1.0261035703207733,-0.41679629043488337,-1.864217723954498,-1.0446908259134908,-1.9091759944512992,-0.80215684457441,-0.7810494833423568,-0.8219945264787389,0.17353151555285143,-0.28271276904359643,-1.7186653716443354,-1.6169561388616882
600895.XSHG,MainBoard,Industrials,3,2012-01-09,0.7862947167336174,-1.6097523756834007,-1.0082655242149765,-0.04033407150634868,-1.0431534688955209,-1.0382152357563215,-0.1912902324614256,-0.6082692017706803,-1.0446908259134908,-1.1116817251875317,-0.793186895869985,-0.780846812792489,-0.8207374234363762,0.04149819477226919,-0.2642814056596679,-1.53831118576152,-1.3479979722527573
600895.XSHG,MainBoard,Industrials,4,2012-01-10,0.5975824025142337,-1.6173824855761478,-0.953711516170458,-0.09943939275209057,-0.9543560892569766,-1.0293807443039835,0.08932194395364919,-0.1781381194764324,-0.2952319343897568,-0.45163286487585297,-0.780388500595297,-0.775670689131525,-0.8196124307853462,-0.101612532303197,-0.25286101558208146,-1.4422653033428035,-1.4575131599578306
600895.XSHG,MainBoard,Industrials,5,2012-01-11,0.5766140868009999,-1.6173824855761478,-0.953711516170458,-0.09943939275209057,-0.8743118862233547,-1.0056153508952637,0.289349323044223,-0.14441340954003595,-0.2952319343897568,-0.2798644451813225,-0.7735598922863344,-0.7744815408173432,-0.8199293250446232,-0.2689426843156361,-0.24334942420745054,-1.4216757626674077,-1.4237366060853598
600895.XSHG,MainBoard,Industrials,6,2012-01-12,0.4390705208093313,-1.6179694505021807,-0.9493471955268963,-0.10398621461975638,-0.7991710298548024,-0.9709280700864765,0.4356677914739331,-0.07083222422425975,0.45422695713397726,-0.08267463117559735,-0.7748498469430571,-0.7722003742419404,-0.8194784797588756,-0.46445625136729335,-0.2323908888843731,-1.304380530620348,-1.2651617141491478
600895.XSHG,MainBoard,Industrials,7,2012-01-13,0.5175842602690323,-1.6125633750009705,-0.9886260813189498,-0.06210898956412366,-0.7573953743969681,-0.9344636931025897,0.45947787131513246,0.16009949584370808,0.45422695713397726,-0.3523863255628207,-0.7783996045300973,-0.7703411600932134,-0.8464213685959241,-0.5185753907633293,-0.21863329193969844,-1.3534857218571577,-1.2986882949411422
600895.XSHG,MainBoard,Industrials,8,2012-01-16,0.741547481056921,-1.6100683997327279,-1.0060833638931959,-0.042782096923972376,-0.7279029205886169,-0.8991397817175469,0.4441980291055475,0.05888868025836421,-0.2952319343897568,-0.4517364529635632,-0.7988782158377677,-0.7713740454684862,-0.8585768601878819,-0.5324883202791126,-0.20349773266141094,-1.3890898755631458,-1.3462766521523775
600895.XSHG,MainBoard,Industrials,9,2012-01-17,0.3613138749059162,-1.6199977863416426,-0.934072073274431,-0.11969836596105206,-0.6496025657080062,-0.8545465323796027,0.5683765044829562,0.5303037624767344,0.45422695713397726,0.26658611644186997,-0.8049333029032415,-0.768608549731428,-0.8636532321783061,-0.5788209191434852,-0.19509016819322222,-1.3200470020600195,-1.2641230854976766
600895.XSHG,MainBoard,Industrials,10,2012-01-18,0.7821555320709637,-1.6182616823297007,-0.9471650352051155,-0.10624993772290514,-0.5898557073615927,-0.8064084132573274,0.6158684810808337,0.8867175252229164,0.45422695713397726,0.19133510456328703,-0.807640608305489,-0.7671108243630933,-0.8671105397083025,-0.617844590538227,-0.1874197973710043,-1.2138425085457705,-1.145046387863762
600895.XSHG,MainBoard,Industrials,11,2012-01-19,0.641246214910653,-1.622547613652645,-0.9144326303784044,-0.1394501604248672,-0.5152253371869947,-0.7523293797733543,0.6954564398654614,1.4987305770287824,0.45422695713397726,0.5207920678175144,-0.8019083708558705,-0.7661036048930634,-0.8680546335748588,-0.6432948006794377,-0.18392923506026,-1.1481265272221786,-0.9876675205040248
600895.XSHG,MainBoard,Industrials,12,2012-01-20,0.8807543806583128,-1.6236604935609302,-0.9057039890912816,-0.14807089137265148,-0.4455515937669535,-0.6945317555183937,0.7452747697531446,1.4743726674070088,0.45422695713397726,0.6108243099149042,-0.7968087896491999,-0.7715572538898834,-0.8705142145515962,-0.6519345482629455,-0.18266998433877962,-1.0470777796844015,-0.9048897611896043
